"names","Mean","SD","SE"
"high arousal - positive",3.03333333333333,0.744651315809729,0.0513858226759261
"low arousal - positive",3.46825396825397,0.70939440672524,0.0489528648071191
"low arousal",2.69206349206349,0.721353854574354,0.0497781451140615
"low arousal - negative",2.34444444444444,0.739544044864006,0.0510333874977388
"high arousal - negative",1.86190476190476,0.721418777149583,0.0497826251973804
"high arousal",2.30793650793651,0.70117276725354,0.048385517783044
